SVM,KNeighborsClassifier,Common_Features,LogisticRegression,DecisionTreeClassifier,XGBoost
,TERC_logCR,,,,
,PRKCI_logCR,,,,
,DCUN1D1_logCR,,,,
,MAP3K13_logCR,,,,
,EIF4A2_logCR,,,,
,TP63_logCR,,,,
,TFRC_logCR,,,,
,PHOX2B_logCR,,,,
,KIT_logCR,,,,
,KDR_logCR,,,,
,FAM175A_logCR,,,,
,FGF2_logCR,,,,
,INPP4B_logCR,,,,
,FBXW7_logCR,,,,
,FAT1_logCR,,,,
,TERT_logCR,,,,
,RICTOR_logCR,,,,
,FGF10_logCR,,,,
,MAP3K1_logCR,,,,
,PIK3R1_logCR,,,,
,MSH3_logCR,,,,
,RASA1_logCR,,,,
,APC_logCR,,,,
,SNCAIP_logCR,,,,
,RAD50_logCR,,,,
,CSNK1A1_logCR,,,,
,PDGFRB_logCR,,,,
,CD74_logCR,,,,
,GABRA6_logCR,,,,
,NPM1_logCR,,,,
,FGFR4_logCR,,,,
,FLT4_logCR,,,,
,E2F3_logCR,,,,
,HIST1H3A_logCR,,,,
,HIST1H1C_logCR,,,,
,HIST1H3D_logCR,,,,
,HIST1H3E_logCR,,,,
,HIST1H3F_logCR,,,,
,HIST1H3G_logCR,,,,
,HIST1H3I_logCR,,,,
,NOTCH4_logCR,,,,
,PIM1_logCR,,,,
,CCND3_logCR,,,,
,VEGFA_logCR,,,,
,PNRC1_logCR,,,,
,EPHA7_logCR,,,,
,PRDM1_logCR,,,,
,WISP3_logCR,,,,
,ROS1_logCR,,,,
,MYB_logCR,,,,
,IFNGR1_logCR,,,,
,TNFAIP3_logCR,,,,
,ZBTB2_logCR,,,,
,MAP3K4_logCR,,,,
,QKI_logCR,,,,
,CARD11_logCR,,,,
,PMS2_logCR,,,,
,ETV1_logCR,,,,
,MAGI2_logCR,,,,
,GRM3_logCR,,,,
,CDK6_logCR,,,,
,CUX1_logCR,,,,
,PIK3CG_logCR,,,,
,BRAF_logCR,,,,
,RHEB_logCR,,,,
,NKX3.1_logCR,,,,
,GPR124_logCR,,,,
,FGFR1_logCR,,,,
,LYN_logCR,,,,
,TCEB1_logCR,,,,
,NBN_logCR,,,,
,RUNX1T1_logCR,,,,
,RAD21_logCR,,,,
,MYC_logCR,,,,
,CD274_logCR,,,,
,MLLT3_logCR,,,,
,CDKN2B_logCR,,,,
,FANCG_logCR,,,,
,PAX5_logCR,,,,
,GNAQ_logCR,,,,
,NTRK2_logCR,,,,
,FANCC_logCR,,,,
,TGFBR1_logCR,,,,
,KLF4_logCR,,,,
,ABL1_logCR,,,,
,TSC1_logCR,,,,
,NOTCH1_logCR,,,,
,EGFL7_logCR,,,,
,TRAF2_logCR,,,,
,CRLF2_logCR,,,,
,ZRSR2_logCR,,,,
,KDM6A_logCR,,,,
,ARAF_logCR,,,,
,AMER1_logCR,,,,
,AR_logCR,,,,
,TAF1_logCR,,,,
,PAK3_logCR,,,,
,XIAP_logCR,,,,
,STAG2_logCR,,,,
